question,answer,id,relevant_passage_ids
Which are the properties of mammalian GA-sequences?," In this article we identify for the first time explicitly the GA-sequences as a class of fractal genomic sequences that are easy to recognize and to extract, and are scattered densely throughout the chromosomes of a large number of genomes from different species and kingdoms including the human genome.  most GA-sequences [1] shared chains of tetra-GA-motifs and contained upstream poly(A)-segments. Although not integral parts of them, Alu-elements were found immediately upstream of all human and chimpanzee GA-sequences with an upstream poly(A)-segment The article hypothesizes that genome navigation uses these properties of GA-sequences in the following way The article describes DNA sequences of mammalian genomes that are longer than 50 bases, but consist exclusively of G's and A's ('pure GA-sequences'). With the exception of a small number of poly-A-, poly-G-, poly-GA-, and poly-GAAA-sequences (combined<0.5%), all pure GA-sequences of the mammals tested were unique individuals, contained several repeated short GA-containing motifs, and shared a common hexa-nucleotide spectrum.",2268,"[19270754  8411173  9607333 19043592   273896 10037452 22342253  8855950
  9490799 11095670  9545369]"
Define marine metaproteomics,"Marine metaproteomics is the study of the activities of whole marine microbial communities. The proteomic analyses are applied directly without the need for prior microbial culturing. The samples can be sediments,seawater, etc.",1115,"[24212578 23968355 21068774 24041543 23831146 22225547 24112684 22399469
 21169428 16176596 23616470 23126454 22517752 24060126 20164862 24060127]"
Does a selective sweep increase genetic variation?,"Selective sweep is a phenomenon in which the fixation of strongly beneficial alleles within a population reduces genetic diversity at partially linked neutral loci. Reduced variation or deviations from neutrality, along with an excess of fixed replacement sites, are indicative of selective sweep.",813,"[18346126 16951057 21705748 24126360 20140188 21624997 17396267 21385389
 16339379 22491190 24282552 24465214 24075201 16322515 21076829 16367838
 22087274 20978039 20352120]"
Are there any R packages that help with visualizing data on spirals?,Yes. Spiralize is an R package for visualizing data on spirals.,4694,[34849585]
What is the aim of the 4D nucleome project?,"The 4D Nucleome Network aims to develop and apply approaches to map the structure and dynamics of the human and mouse genomes in space and time with the goal of gaining deeper mechanistic insights into how the nucleus is organized and functions. The project will develop and benchmark experimental and computational approaches for measuring genome conformation and nuclear organization, and investigate how these contribute to gene regulation and other genome functions.",2539,[28905911]
Which is the main ligand for the glucocorticoid receptor?,"Glucocorticoids (GC) such as cortisol regulate multiple physiological functions, notably those involved in development, metabolism, inflammatory processes and stress, and exert their effects upon binding to the glucocorticoid receptor (GR, encoded by NR3C1 gene in humans).",4154,[32381682 32528419 31995340 32607951]
Han Wistar and Sprague Dawley are breeds of what laboratory animal?,Han-Wistar and Sprague-Dawley rats,3742,"[32713280 10321989 22610983 15764299 22664268 32764845 30476622 15533676
 23349040 25537841 24213005 24213004 29097845 11850967 24749500 15546683
  2756796 28068893]"
What is the mode of action of teriparatide?,"Teripartide is is an effective anabolic (i.e., bone growing) agent used in the treatment of some forms of osteoporosis.",2354,"[26768289 17538470 22403112 19604460 20205677 26104116 20872215 22370296
 15940379 24625372 16463613]"
Which cell types are known to be driving Rheumatoid Arthritis?,"Macrophages, T cells and their respective cytokines play a pivotal role in RA. Rheumatoid arthritis synovial fibroblasts (RASFs) constitute a quite unique cell type that distinguishes RA from other inflammatory conditions of the joints. Activated synovial fibroblasts (SFs) have the ability to invade joint cartilage, actively contributing to joint destruction in RA.",90,"[17875202 15641091 19863844 21160042 23036591 18613841 12060849 20519953
 24276088 15692990 16567358]"
Are astrocytes part of the blood brain barrier?,"Yes
The blood-brain barrier (BBB) is a tight boundary formed between endothelial cells and astrocytes, which separates and protects brain from most pathogens as well as neural toxins in circulation.",3263,[28883042 28822114]
What is MINDY (motif interacting with Ub-containing novel DUB family)?,MINDY-1 is a member of an evolutionarily conserved and structurally distinct new family of deubiquitinating enzymes.,2406,[27292798]
is intense physical activity associated with longevity ?,"Several survival studies showed that professional athletes has higher longevity than general population. These epidemiological data matches the evidences that long-term endurance training induces in elderly subjects an increased HRV and a higher exercise working capacity, which are well-established predictors of cardiovascular and overall mortality, and also telomere length.",296,"[12919770 21435018 16355084 12832429 17436206 21925040 21618162 14662259
 21477204 19575156 22413946 23450998 23241272  2279154 22332442 23241269
 17036189 23300766]"
What bacteria is associated with Gastric cancer and peptic ulcers?,"Helicobacter pylori (H. pylori), a gram-negative microaerophilic bacterial pathogen that colonizes the stomachs of more than half of all humans, is linked to chronic gastritis, peptic ulcers and gastric cancer.",3530,[15610081  8341988 25539656 29432909 16583309 29764950  7886456 29446491]
Which type of distance is used in the R-package XenofilteR?,The R-package XenofilteR separates mouse from human sequence reads based on the edit-distance between a sequence read and reference genome.,3427,[30286710]
Which proteins are regulated by Nrf2?,"Keap1-Nrf2 system is known as a sensor of electrophilic compounds, and protects cells from oxidative stress through induction of various antioxidant enzymes.",2628,[27278863 27507633 26846360 27308893 27369375]
What is the combined effect of Nfat and miR-25?,Increased calcineurin/Nfat signalling and decreased miR-25 expression integrate to re-express the basic helix-loop-helix (bHLH) transcription factor dHAND (also known as Hand2) in the diseased human and mouse myocardium.,2744,[24161931]
Does metformin has as an antitumor effect?,"Yes, 	The anti-tumor effect of metformin is widely known.",3488,[29422962 29807100 29444159 30053447]
Has ZP-PTH been tested in a phase II clinical trial?,"Yes, ZP-PTH was successfully tested in a phase II clinical trial for the treatment of post-menopausal women with osteoporosis.",3387,[20183917]
What is the mechanism of action of Lanifibranor?,Lanifibranor is peroxisome proliferator-activated receptor (PPAR) agonist.,4577,"[30261763 33987427 32613381 34488870 33038502 32360434 33278455 34670042
 29446942]"
What is GRO-seq?,"Global run-on sequencing (Gro-seq) that maps the position, amount, and orientation of transcriptionally engaged RNA polymerases genome-wide. In this method, nuclear run-on RNA molecules are subjected to large-scale parallel sequencing and mapped to the genome.",1123,[24304890 19056941 21549415]
Is CTCF bound at nucleosome free regions?,"yes, robust inter-nucleosomal interactions exist around transcription start site (TSS), transcription termination sites (TTS) or around CTCF binding sites",3362,[25348714 30414923 30188887 21249180 16877759]
Which is the main cause of the Patau syndrome?,Patau syndrome is caused by trisomy 13.,2083,"[25459971  2325123 12762245 20584846 20641042 11885075 26034714 24340511
 23622175 23613355 18467377  2348978 14506431 24993362 19408854 24564826
 17603803 18253026 23949924  6458983 12393964 20537076 21344634]"
Which components of the stress granules are known to be related to motor neuron degeneration in Amyotrophic Lateral Sclerosis?,"Of note, both ALS and FTD are characterized by pathological inclusions, where some well-known SG markers localize with the ALS related proteins TDP-43 and FUS.",1277,"[26557057 23474818 19765185 25216585 24090136 24804206 19338576 25429138
 21280085 22879928 19815002 20699327]"
List functions that are evaluated with the Full Outline of Unresponsiveness score?,"The FOUR (Full Outline of UnResponsiveness) score, a new coma scale, evaluates 4 components: eye and motor responses, brainstem reflexes and respiration.",283,[20551672 19648386 24013867 24556655]
Is P. gingivalis bacteria found in brain?,Yes,2800,[28800332 30281647]
Gallbladder carriage is a well recognised means of spread of which bacteria?,Gallbladder carriage is associated with spread of Salmonella Typhi.,2613,[23732169 25253258 25065707 24349565 27600501 27131005]
What is the link between Dax1 and Esrrb?,Dax1 associates with Esrrb and regulates its function in embryonic stem cells,1028,[23508100]
What is the main biological function of the CRISPR-CAS9 genome editing system?,"The CRISPR/Cas9 system (clustered regularly interspaced short palindromic repeats/CRISPR-associated) has recently emerged as an efficient and simple tool for site-specific engineering of eukaryotic genomes. The CRISPR/Cas9 system has attracted significant attention for its potential to transform genome engineering. It has been shown that the RNA-guided Cas9 nuclease can be employed to engineer the Drosophila genome, and that these modifications are efficiently transmitted through the germline. The CRISPR/Cas9 system has been reported to efficiently induce targeted gene disruption and homologous recombination in both prokaryotic and eukaryotic cells. The CRISPR/Cas9 system has been used to create knock-out alleles with great efficiency, and it has also been employed in knock-in of DNA cassettes at defined loci via homologous recombination (HR). The ease and efficiency of the CRISPR/Cas9 system with limited off-target effects make it a powerful genome engineering tool for in vivo studies.",1451,"[24179142 24088745 24326186 23643243 24141137 23918387 24199189 23827738
 24257628]"
